mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Mendoza,Catamarca,26,56,previaje 3
2022-10,Mendoza,Chaco,6,7,previaje 3
2022-10,Mendoza,Chubut,515,764,previaje 3
2022-10,Mendoza,Ciudad Autónoma de Buenos Aires,2276,4326,previaje 3
2022-10,Mendoza,Córdoba,411,863,previaje 3
2022-10,Mendoza,Corrientes,32,71,previaje 3
2022-10,Mendoza,Entre Ríos,67,103,previaje 3
2022-10,Mendoza,Formosa,16,16,previaje 3
2022-10,Mendoza,Jujuy,93,240,previaje 3
2022-10,Mendoza,La Pampa,9,25,previaje 3
2022-10,Mendoza,La Rioja,36,81,previaje 3
2022-10,Mendoza,Mendoza,486,1144,previaje 3
2022-10,Mendoza,Misiones,540,1082,previaje 3
2022-10,Mendoza,Neuquén,190,361,previaje 3
2022-10,Mendoza,Río Negro,509,935,previaje 3
2022-10,Mendoza,Salta,539,1042,previaje 3
2022-10,Mendoza,San Juan,28,61,previaje 3
2022-10,Mendoza,San Luis,279,615,previaje 3
2022-10,Mendoza,Santa Cruz,217,403,previaje 3
2022-10,Mendoza,Santa Fe,52,86,previaje 3
2022-10,Mendoza,Santiago del Estero,66,123,previaje 3
2022-10,Mendoza,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",196,306,previaje 3
2022-10,Mendoza,Tucumán,47,108,previaje 3
2022-10,Misiones,Buenos Aires,128,234,previaje 3
2022-10,Misiones,Catamarca,10,17,previaje 3
2022-10,Misiones,Chubut,128,175,previaje 3
2022-10,Misiones,Ciudad Autónoma de Buenos Aires,333,581,previaje 3
2022-10,Misiones,Córdoba,373,473,previaje 3
2022-10,Misiones,Corrientes,39,79,previaje 3
2022-10,Misiones,Entre Ríos,51,90,previaje 3
2022-10,Misiones,Jujuy,20,31,previaje 3
2022-10,Misiones,La Pampa,9,22,previaje 3
2022-10,Misiones,La Rioja,10,19,previaje 3
2022-10,Misiones,Mendoza,49,110,previaje 3
2022-10,Misiones,Misiones,118,303,previaje 3
2022-10,Misiones,Neuquén,36,53,previaje 3
2022-10,Misiones,Río Negro,188,258,previaje 3
2022-10,Misiones,Salta,86,187,previaje 3
2022-10,Misiones,San Juan,14,21,previaje 3
2022-10,Misiones,San Luis,32,34,previaje 3
2022-10,Misiones,Santa Cruz,80,117,previaje 3
2022-10,Misiones,Santa Fe,19,32,previaje 3
2022-10,Misiones,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",159,204,previaje 3
2022-10,Misiones,Tucumán,36,56,previaje 3
2022-10,Neuquén,Buenos Aires,325,619,previaje 3
2022-10,Neuquén,Catamarca,4,6,previaje 3
2022-10,Neuquén,Chaco,5,9,previaje 3
2022-10,Neuquén,Chubut,136,382,previaje 3
2022-10,Neuquén,Ciudad Autónoma de Buenos Aires,760,1369,previaje 3
2022-10,Neuquén,Córdoba,174,285,previaje 3
2022-10,Neuquén,Corrientes,56,79,previaje 3
2022-10,Neuquén,Entre Ríos,24,53,previaje 3
2022-10,Neuquén,Jujuy,98,177,previaje 3
2022-10,Neuquén,La Rioja,4,14,previaje 3
2022-10,Neuquén,Mendoza,97,218,previaje 3
2022-10,Neuquén,Misiones,145,325,previaje 3
2022-10,Neuquén,Neuquén,197,447,previaje 3
2022-10,Neuquén,Río Negro,175,419,previaje 3
2022-10,Neuquén,Salta,341,611,previaje 3
2022-10,Neuquén,San Juan,7,19,previaje 3
2022-10,Neuquén,San Luis,11,26,previaje 3
2022-10,Neuquén,Santa Cruz,61,142,previaje 3
2022-10,Neuquén,Santa Fe,34,55,previaje 3
2022-10,Neuquén,Santiago del Estero,15,23,previaje 3
2022-10,Neuquén,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",48,101,previaje 3
2022-10,Neuquén,Tucumán,23,44,previaje 3
2022-10,Río Negro,Buenos Aires,474,840,previaje 3
2022-10,Río Negro,Catamarca,14,24,previaje 3
2022-10,Río Negro,Chaco,8,17,previaje 3
2022-10,Río Negro,Chubut,247,596,previaje 3
2022-10,Río Negro,Ciudad Autónoma de Buenos Aires,750,1264,previaje 3
2022-10,Río Negro,Córdoba,220,409,previaje 3
2022-10,Río Negro,Corrientes,30,45,previaje 3
2022-10,Río Negro,Entre Ríos,43,59,previaje 3
2022-10,Río Negro,Jujuy,53,138,previaje 3
2022-10,Río Negro,La Pampa,8,18,previaje 3
2022-10,Río Negro,La Rioja,15,25,previaje 3
2022-10,Río Negro,Mendoza,137,297,previaje 3
2022-10,Río Negro,Misiones,155,356,previaje 3
2022-10,Río Negro,Neuquén,188,503,previaje 3
2022-10,Río Negro,Río Negro,294,680,previaje 3
2022-10,Río Negro,Salta,166,345,previaje 3
2022-10,Río Negro,San Juan,13,20,previaje 3
